year,period,periodName,value,footnotes,seriesID
2021,M12,December,3.743,,APU0000709112
2021,M11,November,3.671,,APU0000709112
2021,M10,October,3.663,,APU0000709112
2021,M09,September,3.585,,APU0000709112
2021,M08,August,3.560,,APU0000709112
2021,M07,July,3.627,,APU0000709112
2021,M06,June,3.557,,APU0000709112
2021,M05,May,3.497,,APU0000709112
2021,M04,April,3.447,,APU0000709112
2021,M03,March,3.348,,APU0000709112
2021,M02,February,3.368,,APU0000709112
2021,M01,January,3.468,,APU0000709112
2020,M12,December,3.535,,APU0000709112
2020,M11,November,3.425,,APU0000709112
2020,M10,October,3.380,,APU0000709112
2020,M09,September,3.448,,APU0000709112
2020,M08,August,3.406,,APU0000709112
2020,M07,July,3.255,,APU0000709112
2020,M06,June,3.198,,APU0000709112
2020,M05,May,3.210,,APU0000709112
2020,M04,April,3.267,,APU0000709112
2020,M03,March,3.248,,APU0000709112
2020,M02,February,3.196,,APU0000709112
2020,M01,January,3.253,,APU0000709112
2019,M12,December,3.188,,APU0000709112
2019,M11,November,3.189,,APU0000709112
2019,M10,October,3.119,,APU0000709112
2019,M09,September,3.102,,APU0000709112
2019,M08,August,3.045,,APU0000709112
2019,M07,July,3.031,,APU0000709112
2019,M06,June,3.054,,APU0000709112
2019,M05,May,2.963,,APU0000709112
2019,M04,April,2.980,,APU0000709112
2019,M03,March,2.944,,APU0000709112
2019,M02,February,2.900,,APU0000709112
2019,M01,January,2.913,,APU0000709112
2018,M12,December,2.853,,APU0000709112
2018,M11,November,2.877,,APU0000709112
2018,M10,October,2.913,,APU0000709112
2018,M09,September,2.890,,APU0000709112
2018,M08,August,2.871,,APU0000709112
2018,M07,July,2.839,,APU0000709112
2018,M06,June,2.877,,APU0000709112
2018,M05,May,2.919,,APU0000709112
2018,M04,April,2.924,,APU0000709112
2018,M03,March,2.903,,APU0000709112
2018,M02,February,2.923,,APU0000709112
2018,M01,January,2.961,,APU0000709112
2017,M12,December,3.155,,APU0000709112
2017,M11,November,3.150,,APU0000709112
2017,M10,October,3.158,,APU0000709112
2017,M09,September,3.209,,APU0000709112
2017,M08,August,3.168,,APU0000709112
2017,M07,July,3.219,,APU0000709112
2017,M06,June,3.213,,APU0000709112
2017,M05,May,3.242,,APU0000709112
2017,M04,April,3.259,,APU0000709112
2017,M03,March,3.315,,APU0000709112
2017,M02,February,3.300,,APU0000709112
2017,M01,January,3.318,,APU0000709112
2016,M12,December,3.290,,APU0000709112
2016,M11,November,3.280,,APU0000709112
2016,M10,October,3.292,,APU0000709112
2016,M09,September,3.229,,APU0000709112
2016,M08,August,3.141,,APU0000709112
2016,M07,July,3.062,,APU0000709112
2016,M06,June,3.115,,APU0000709112
2016,M05,May,3.157,,APU0000709112
2016,M04,April,3.155,,APU0000709112
2016,M03,March,3.187,,APU0000709112
2016,M02,February,3.230,,APU0000709112
2016,M01,January,3.313,,APU0000709112
2015,M12,December,3.310,,APU0000709112
2015,M11,November,3.299,,APU0000709112
2015,M10,October,3.338,,APU0000709112
2015,M09,September,3.392,,APU0000709112
2015,M08,August,3.389,,APU0000709112
2015,M07,July,3.430,,APU0000709112
2015,M06,June,3.366,,APU0000709112
2015,M05,May,3.387,,APU0000709112
2015,M04,April,3.397,,APU0000709112
2015,M03,March,3.463,,APU0000709112
2015,M02,February,3.496,,APU0000709112
2015,M01,January,3.758,,APU0000709112
2014,M12,December,3.820,,APU0000709112
2014,M11,November,3.858,,APU0000709112
2014,M10,October,3.766,,APU0000709112
2014,M09,September,3.732,,APU0000709112
2014,M08,August,3.673,,APU0000709112
2014,M07,July,3.645,,APU0000709112
2014,M06,June,3.626,,APU0000709112
2014,M05,May,3.735,,APU0000709112
2014,M04,April,3.687,,APU0000709112
2014,M03,March,3.669,,APU0000709112
2014,M02,February,3.561,,APU0000709112
2014,M01,January,3.552,,APU0000709112
2013,M12,December,3.501,,APU0000709112
2013,M11,November,3.491,,APU0000709112
2013,M10,October,3.462,,APU0000709112
2013,M09,September,3.428,,APU0000709112
2013,M08,August,3.448,,APU0000709112
2013,M07,July,3.449,,APU0000709112
2013,M06,June,3.458,,APU0000709112
2013,M05,May,3.441,,APU0000709112
2013,M04,April,3.428,,APU0000709112
2013,M03,March,3.431,,APU0000709112
2013,M02,February,3.480,,APU0000709112
2013,M01,January,3.526,,APU0000709112
2012,M12,December,3.580,,APU0000709112
2012,M11,November,3.536,,APU0000709112
2012,M10,October,3.524,,APU0000709112
2012,M09,September,3.469,,APU0000709112
2012,M08,August,3.474,,APU0000709112
2012,M07,July,3.428,,APU0000709112
2012,M06,June,3.396,,APU0000709112
2012,M05,May,3.427,,APU0000709112
2012,M04,April,3.474,,APU0000709112
2012,M03,March,3.499,,APU0000709112
2012,M02,February,3.520,,APU0000709112
